"Region","Purpose","Height","Length","Volume","Year_Completed","Surface","Inspection_Freq","Distance_to_City","Hazard","Assessment","Prob_Fail","Loss_gf_Prop","Loss_gf_Liab","Loss_gf_BI"
"Navaldia","Recreation",9.04,0.207,14961,1964,0.02364,2,7.88,"Significant","Satisfactory",0.1258,20.8,296.9,8.1
"Navaldia","Recreation",2.713,0.207,7070000,1927,0.09653,5,4.94,"High","Not Available",0.0757,930.5,727.5,35.0178811753838
"Navaldia","Recreation",9.04,0.207,11014,1964,0.09653,2,22.88,"Significant","Satisfactory",0.1375,355.5,427.3,8.6
"Navaldia","Recreation",9.04,0.207,35000,1964,0.09653,2,11.57,"Significant","Not Rated",0.1403,295.1,25.3,12.708662659064
"Lyndrassia","Recreation",13.921,0.2,50000,1981,0.04728,3,16.43,"High","Not Rated",0.0998,11.5,203,5.6
"Lyndrassia","Recreation",14.332,0.127,125000,1998,0.06107,3,13.52,"High","Unsatisfactory",0.1283,11.5,733.7,8.2
"Lyndrassia","Recreation",12.526,0.17,80000,1964,0.04137,3,21.4,"High","Unsatisfactory",0.1394,7.3,248.5,9.5
"Flumevale","Water Supply",2.018,0.017,3500,1968,0.09653,3,8.16,"Significant","Not Rated",0.1547,416.3,441.8,52.6
"Flumevale","Recreation",9.04,0.082,15650,1947,0.01773,1,1.58,"High","Not Available",0.1355,30.6,651.4,34.336733777042
"Lyndrassia","Water Supply",26.547,0.933,223573,1964,19.1484,3,7.06,"High","Not Rated",0.0853,814.7,277.8,53.4
"Flumevale","Recreation",18.142,0.224,15000,1908,0.09653,1,5,"High","Not Rated",0.0891,486.8,794.9,8.9
"Navaldia","Recreation",8.084,0.14,10482,1964,0.09653,2,15.4,"Significant","Fair",0.1198,463.4,228.2,5.1
"Navaldia","Flood Risk Reduction",9.04,0.207,139060,1964,0.09653,1,4.79,"High","Not Rated",0.1131,874,743.5,15.8185160734213
"Navaldia","Recreation",4.848,0.207,32000,1964,0.00788,2,16.83,"Significant","Fair",0.1556,13.9,25.1,2.9
"Navaldia","Irrigation",9.04,0.207,32000,1964,0.09653,2,15.08,"Significant","Satisfactory",0.1126,106.2,189.6,47.1
"Flumevale","Recreation",8.746,0.1,15000,1950,0.09653,5,83.19,"Significant","Not Rated",0.1355,107,74.2,6.1
"Navaldia","Flood Risk Reduction",10,3.913,6e+06,1979,0.09653,5,4.94,"High","Not Available",0.0598,622.1,806,33.7442533215327
"Lyndrassia","Recreation",18.441,0.15,50000,2001,0.04531,3,8.09,"High","Not Rated",0.0837,27.3,278.2,8.1
"Flumevale","Irrigation",7.961,0.262,9180,1918,0.09653,5,16.57,"Significant","Not Rated",0.1108,219.6,160.6,38.9
"Lyndrassia","Recreation",16.22,0.283,65000,1964,0.09653,3,3.7,"High","Not Rated",0.0736,615.9,700.1,19.3928149144508
"Flumevale","Other",4.43,0.023,4628,1899,0.09653,3,25.04,"Significant","Not Rated",0.1495,301.1,118.8,18.7857911052113
"Lyndrassia","Tailings",9.04,0.207,97494.9999999999,1964,2.16503,3,3.14,"High","Satisfactory",0.1036,120.3,918.2,13.9326752510153
"Flumevale","Other",2.932,0.027,4628,1899,0.09653,3,25.04,"Significant","Not Rated",0.1321,156.2,48.3,13.2715947332654
"Lyndrassia","Recreation",16.57,0.207,80000,1990,0.09653,3,8.69,"High","Satisfactory",0.0927,651.7,425.6,11.7973789355216
"Lyndrassia","Recreation",35.081,0.207,29111,1964,0.09653,3,2.35,"Significant","Satisfactory",0.114,230.5,534.4,14.092452076967
"Flumevale","Fish and Wildlife Pond",10.525,0.05,27301,1875,0.09653,1,8.21,"High","Not Rated",0.1203,851.5,772.2,32.2789686397893
"Navaldia","Flood Risk Reduction",16.88,2.235,2300000,1966,0,5,3.36,"High","Not Available",0.0615,13.3,621.3,29.0490010488054
"Flumevale","Flood Risk Reduction",6.122,0.307,4900000,2005,0.09653,5,10.97,"Significant","Not Available",0.1411,256.9,461.9,37.7684522619725
"Lyndrassia","Recreation",14.782,0.153,125000,1996,0.04925,3,13.52,"High","Unsatisfactory",0.1387,30.2,611.4,5.5
"Lyndrassia","Recreation",15.276,0.207,45000,1964,0.14381,3,6.58,"High","Unsatisfactory",0.1316,6.8,320.1,7.33550285352893
